Pattern Name,Use Case,Functions Combined,Full Formula,How It Works
Year-over-Year Growth %,Compare current period sales to same period last year as a percentage,"VAR, CALCULATE, SAMEPERIODLASTYEAR, DIVIDE","YoY % = VAR CurSales = [Total Sales] VAR PYSales = CALCULATE([Total Sales], SAMEPERIODLASTYEAR('Date'[Date])) RETURN DIVIDE(CurSales - PYSales, PYSales)",VAR caches both period totals once; SAMEPERIODLASTYEAR shifts the date filter back a year inside CALCULATE; DIVIDE guards against a zero prior-year denominator
Running / Cumulative Total,Show a cumulative sum up to the current date in a time series visual,"CALCULATE, FILTER, ALL, MAX","Running Total = CALCULATE(SUM(Sales[SalesAmount]), FILTER(ALL('Date'[Date]), 'Date'[Date] <= MAX('Date'[Date])))",ALL clears the existing date filter; FILTER rebuilds it to include every date up to and including the current row's MAX date; CALCULATE evaluates SUM under that expanded filter
% of Parent Category Total,"Show each product's share of its own category's total, ignoring other filters like region","DIVIDE, CALCULATE, ALLEXCEPT","% of Category = DIVIDE(SUM(Sales[SalesAmount]), CALCULATE(SUM(Sales[SalesAmount]), ALLEXCEPT(Products, Products[Category])))","ALLEXCEPT clears all filters on Products except Category, so the denominator recalculates at the category level while the numerator stays at the current (e.g. product) grain"
Rank Within Category,"Rank each product's sales only against other products in the same category, not the whole table","RANKX, ALLEXCEPT","Rank in Category = RANKX(ALLEXCEPT(Products, Products[Category]), [Total Sales])",ALLEXCEPT builds the comparison set as all products sharing the current row's category; RANKX then ranks the current product's [Total Sales] against that set
Top N Customers + 'Others' Bucket,Show top 5 customers by sales and group the rest into a single 'Others' row,"IF, RANKX, ALL, SUM, VALUES","Customer Group = IF(RANKX(ALL(Customers[Name]), CALCULATE(SUM(Sales[SalesAmount]))) <= 5, VALUES(Customers[Name]), ""Others"")",RANKX ranks every customer against the full unfiltered list; IF checks if current customer's rank is within top 5 and either shows their name or buckets them as Others (used as a grouping column in a matrix)
Dynamic Top N Total (respects slicer),Sum only the top N products currently selected/visible via a What-If parameter,"CALCULATE, TOPN, VALUES, SUM","Top N Sales = CALCULATE(SUM(Sales[SalesAmount]), TOPN([TopN Parameter Value], ALL(Products), CALCULATE(SUM(Sales[SalesAmount]))))",TOPN builds a dynamic table of the highest-selling N products (N pulled from a What-If parameter measure); the outer CALCULATE restricts SUM to only rows belonging to that table
3-Month Rolling Average,Smooth a monthly trend line using a trailing 3-month average,"AVERAGEX, DATESINPERIOD, CALCULATE","Rolling 3M Avg = AVERAGEX(DATESINPERIOD('Date'[Date], MAX('Date'[Date]), -3, MONTH), CALCULATE(SUM(Sales[SalesAmount])))","DATESINPERIOD returns the trailing 3 months of dates ending at the current context's last date; AVERAGEX iterates those dates, recalculating monthly sales for each via CALCULATE, then averages them"
Prior Year Comparison with Fallback,"Show prior-year sales, or blank/0 gracefully when no prior-year data exists (new products, new stores)","IFERROR, CALCULATE, SAMEPERIODLASTYEAR","PY Sales Safe = IFERROR(CALCULATE([Total Sales], SAMEPERIODLASTYEAR('Date'[Date])), BLANK())",CALCULATE + SAMEPERIODLASTYEAR shifts context back a year; IFERROR catches any evaluation error (e.g. from an incomplete date table) and substitutes BLANK() instead of showing an error in the visual
Customer Segmentation (RFM-style Tiering),Classify customers into Gold/Silver/Bronze tiers based on total spend thresholds,"SWITCH, TRUE, CALCULATE, SUM","Customer Tier = SWITCH(TRUE(), [Total Sales] >= 10000, ""Gold"", [Total Sales] >= 5000, ""Silver"", [Total Sales] > 0, ""Bronze"", ""No Purchases"")","SWITCH(TRUE(), ...) pattern evaluates each boolean condition top-to-bottom and returns the first match — a cleaner alternative to nested IFs for multi-tier bucketing"
New vs Returning Customer Sales,Split sales between first-time and repeat customers in the same visual,"VAR, CALCULATE, FIRSTDATE, ALL, IF","New Customer Sales = VAR FirstPurchase = CALCULATE(MIN(Sales[OrderDate]), ALLEXCEPT(Sales, Sales[CustomerID])) RETURN CALCULATE([Total Sales], Sales[OrderDate] = FirstPurchase)",ALLEXCEPT isolates each customer's full order history to find their true first purchase date regardless of current date filters; the outer CALCULATE then restricts sales to only that first-purchase date
Dynamic Measure Selection (Field Parameter Pattern),Let a slicer swap which measure a chart displays (Sales vs Profit vs Quantity),"SWITCH, SELECTEDVALUE","Selected Metric = SWITCH(SELECTEDVALUE('Metric Selector'[Metric]), ""Sales"", [Total Sales], ""Profit"", [Total Profit], ""Quantity"", [Total Qty], [Total Sales])","SELECTEDVALUE reads the single value chosen in a disconnected slicer table; SWITCH routes to the matching pre-built measure, with a default fallback as the last argument"
Contribution Margin with Safe Division,Calculate margin % while avoiding divide-by-zero errors when revenue is 0,"DIVIDE, VAR","Margin % = VAR Rev = [Total Revenue] VAR Cost = [Total Cost] RETURN DIVIDE(Rev - Cost, Rev, 0)","VARs avoid recalculating Revenue/Cost twice; DIVIDE's third argument returns 0 instead of an error/blank when Rev is 0, keeping visuals clean"
Median Basket Size per Order,Find the median number of items per order across all orders,"MEDIANX, SUMMARIZE, SUM","Median Basket Size = MEDIANX(SUMMARIZE(Sales, Sales[OrderID], ""OrderQty"", SUM(Sales[Qty])), [OrderQty])",SUMMARIZE first collapses line-items into one row per order with total quantity; MEDIANX then iterates that grouped table to find the median order size
Filter Table with Multiple Conditions,"Sum sales only for high-value, non-returned orders in a specific region","CALCULATE, FILTER, AND","Qualified Sales = CALCULATE(SUM(Sales[SalesAmount]), FILTER(Sales, Sales[SalesAmount] > 500 && Sales[Returned] = FALSE && Sales[Region] = ""West""))",FILTER iterates row-by-row testing all three conditions combined with && (AND); CALCULATE applies the resulting row set as the new filter context for SUM
Concatenated List per Group (Dynamic Tooltip Text),Show a comma-separated list of products purchased by the currently filtered customer,"CONCATENATEX, VALUES, ALL","Products Purchased = CONCATENATEX(VALUES(Products[Name]), Products[Name], "", "", Products[Name], ASC)","VALUES returns distinct products visible in current filter context (e.g. for one customer); CONCATENATEX joins them into a single sorted, comma-delimited string for a tooltip or card visual"
Weighted Average Price,"Calculate an average price weighted by quantity sold, not a simple column average","DIVIDE, SUMX","Weighted Avg Price = DIVIDE(SUMX(Sales, Sales[Qty]*Sales[UnitPrice]), SUMX(Sales, Sales[Qty]))",Numerator SUMX computes total revenue row-by-row; denominator SUMX computes total quantity; DIVIDE combines them so high-volume line items influence the average more than low-volume ones
1. Year-over-Year Growth %,"[Time Intelligence] Combines VAR, CALCULATE, SAMEPERIODLASTYEAR, DIVIDE","CALCULATE, SAMEPERIODLASTYEAR, DIVIDE","YoY % = VAR Cur=[Total Sales] VAR PY=CALCULATE([Total Sales],SAMEPERIODLASTYEAR('Date'[Date])) RETURN DIVIDE(Cur-PY,PY)","Combines VAR, CALCULATE, SAMEPERIODLASTYEAR, DIVIDE"
2. Month-over-Month Growth %,[Time Intelligence] DATEADD shifts one month back,"CALCULATE, DATEADD, DIVIDE","MoM % = VAR Cur=[Total Sales] VAR PM=CALCULATE([Total Sales],DATEADD('Date'[Date],-1,MONTH)) RETURN DIVIDE(Cur-PM,PM)",DATEADD shifts one month back
3. Quarter-over-Quarter Growth,[Time Intelligence] DATEADD with QUARTER interval,"CALCULATE, DATEADD, DIVIDE","QoQ % = VAR Cur=[Total Sales] VAR PQ=CALCULATE([Total Sales],DATEADD('Date'[Date],-1,QUARTER)) RETURN DIVIDE(Cur-PQ,PQ)",DATEADD with QUARTER interval
4. Running Total,[Time Intelligence] ALL + FILTER rebuilds cumulative date window,"CALCULATE, SUM, FILTER, ALL, MAX","Running Total = CALCULATE(SUM(Sales[SalesAmount]), FILTER(ALL('Date'[Date]), 'Date'[Date] <= MAX('Date'[Date])))",ALL + FILTER rebuilds cumulative date window
5. Cumulative Sales (YTD basis),[Time Intelligence] Shorthand cumulative when the window is calendar-year,"TOTALYTD, SUM","Cumulative Sales = TOTALYTD(SUM(Sales[SalesAmount]), 'Date'[Date])",Shorthand cumulative when the window is calendar-year
