Category,Function / Pattern,Type,Use Case,Example Formula
Aggregation,SUM,Measure,Add up all values in a numeric column,Total Sales = SUM(Sales[SalesAmount])
Aggregation,SUMX,Measure,Row-by-row calculation then sum (e.g. Qty x Price when no total column exists),"Total Revenue = SUMX(Sales, Sales[Qty] * Sales[UnitPrice])"
Aggregation,AVERAGE,Measure,Arithmetic mean of a column,Avg Price = AVERAGE(Sales[UnitPrice])
Aggregation,AVERAGEX,Measure,Row-level expression averaged across a table,"Avg Order Value = AVERAGEX(Orders, Orders[Qty]*Orders[UnitPrice])"
Aggregation,MIN / MAX,Measure,Smallest/largest value in a column,Max Price = MAX(Sales[UnitPrice])
Aggregation,MINX / MAXX,Measure,Smallest/largest value of a row expression,"Max Line Total = MAXX(Sales, Sales[Qty]*Sales[UnitPrice])"
Aggregation,COUNT,Measure,Count numeric/date cells in a column (ignores blanks),Order Count = COUNT(Sales[OrderID])
Aggregation,COUNTA,Measure,Count non-blank cells of any type,Filled Cells = COUNTA(Sales[Comments])
Aggregation,COUNTROWS,Measure,Count rows in a table or filtered table expression,Product Count = COUNTROWS(Products)
Aggregation,COUNTBLANK,Measure,Count blank/empty cells in a column,Missing Emails = COUNTBLANK(Customers[Email])
Aggregation,DISTINCTCOUNT,Measure,Count unique values in a column,Unique Customers = DISTINCTCOUNT(Sales[CustomerID])
Aggregation,DISTINCTCOUNTNOBLANK,Measure,Unique values excluding blanks,Unique Emails = DISTINCTCOUNTNOBLANK(Customers[Email])
Aggregation,PRODUCT / PRODUCTX,Measure,Multiply all values in a column / row expression,"Growth Factor = PRODUCTX(Rates, 1+Rates[Rate])"
Aggregation,GEOMEAN,Measure,"Geometric mean, useful for growth-rate averaging",Avg Growth = GEOMEAN(Returns[GrowthRate])
Aggregation,MEDIAN / MEDIANX,Measure,Middle value of a distribution,Median Salary = MEDIAN(Employees[Salary])
Aggregation,VAR.S / VAR.P,Measure,Sample/population variance,Sales Variance = VAR.S(Sales[SalesAmount])
Aggregation,STDEV.S / STDEV.P,Measure,Sample/population standard deviation,Sales StdDev = STDEV.S(Sales[SalesAmount])
Filter,CALCULATE,Measure,Evaluate an expression in a modified filter context — the most important DAX function,"Sales 2024 = CALCULATE(SUM(Sales[SalesAmount]), Sales[Year]=2024)"
Filter,CALCULATETABLE,Calculated Column/Measure,Same as CALCULATE but returns a table,"HighValueOrders = CALCULATETABLE(Sales, Sales[SalesAmount]>1000)"
Filter,FILTER,Measure/Column,Return a filtered table for use inside CALCULATE or as a table expression,"Big Orders Total = CALCULATE(SUM(Sales[SalesAmount]), FILTER(Sales, Sales[SalesAmount]>500))"
Filter,ALL,Measure,Remove all filters from a table/column to compute grand totals or % of total,"% of Total = DIVIDE(SUM(Sales[SalesAmount]), CALCULATE(SUM(Sales[SalesAmount]), ALL(Sales)))"
Filter,ALLEXCEPT,Measure,Remove all filters except those specified — keep one grouping while clearing others,"Sales by Category Only = CALCULATE(SUM(Sales[SalesAmount]), ALLEXCEPT(Sales, Sales[Category]))"
Filter,ALLSELECTED,Measure,Remove filters but retain filters explicitly applied by the user via slicers,"% of Visible Total = DIVIDE(SUM(Sales[SalesAmount]), CALCULATE(SUM(Sales[SalesAmount]), ALLSELECTED()))"
Filter,ALLNOBLANKROW,Measure,Like ALL but excludes the blank row added for invalid relationships,"Clean Total = CALCULATE(SUM(Sales[SalesAmount]), ALLNOBLANKROW(Sales))"
Filter,REMOVEFILTERS,Measure,"Explicitly clear filters (modern, clearer alternative to ALL inside CALCULATE)","Grand Total = CALCULATE(SUM(Sales[SalesAmount]), REMOVEFILTERS(Sales))"
Filter,KEEPFILTERS,Measure,Add a filter while keeping existing filters instead of overwriting them,"KeepCtx = CALCULATE(SUM(Sales[SalesAmount]), KEEPFILTERS(Sales[Category]=""Bikes""))"
Filter,VALUES,Measure/Column,Return distinct visible values of a column in current context; often used for single-value checks,"Selected Product = IF(HASONEVALUE(Products[Name]), VALUES(Products[Name]), ""Multiple"")"
Filter,DISTINCT,Calculated Column/Table,Return distinct values of a column as a table (no blank-row handling like VALUES),DistinctColors = DISTINCT(Products[Color])
Filter,HASONEVALUE,Measure,Test whether current filter context has exactly one value for a column,"Title = IF(HASONEVALUE(Products[Name]), VALUES(Products[Name]), ""Multiple Products"")"
Filter,ISFILTERED / ISCROSSFILTERED,Measure,Check if a column/table is being filtered directly or via relationship,IsFiltered = ISFILTERED(Products[Category])
Filter,EARLIER,Calculated Column,"Reference an outer row context value from within a nested row context (legacy, mostly replaced by variables)","Rank in Category = COUNTROWS(FILTER(Products, Products[Category]=EARLIER(Products[Category]) && Products[Price]>EARLIER(Products[Price])))+1"
Filter,EARLIEST,Calculated Column,"Access the outermost row context (rarely used, pairs with EARLIER)",N/A (advanced nested row-context scenarios)
Filter,RANKX,Measure,Rank a value within a table according to an expression,"Sales Rank = RANKX(ALL(Products), [Total Sales])"
Filter,TOPN,Measure/Table,Return the top N rows of a table by an expression,"Top 5 Sales = SUMX(TOPN(5, Products, [Total Sales]), [Total Sales])"
Time Intelligence,TOTALYTD,Measure,Year-to-date total up to the last date in current filter context,"Sales YTD = TOTALYTD(SUM(Sales[SalesAmount]), 'Date'[Date])"
Time Intelligence,TOTALQTD / TOTALMTD,Measure,Quarter/Month-to-date totals,"Sales MTD = TOTALMTD(SUM(Sales[SalesAmount]), 'Date'[Date])"
Time Intelligence,DATESYTD / DATESQTD / DATESMTD,Measure,"Return a table of dates from period start to last visible date, for use inside CALCULATE","Sales YTD = CALCULATE(SUM(Sales[SalesAmount]), DATESYTD('Date'[Date]))"
Time Intelligence,SAMEPERIODLASTYEAR,Measure,Shift the date context back exactly one year,"Sales PY = CALCULATE(SUM(Sales[SalesAmount]), SAMEPERIODLASTYEAR('Date'[Date]))"
Time Intelligence,DATEADD,Measure,Shift dates forward/backward by a number of intervals (day/month/quarter/year),"Sales Prior Month = CALCULATE(SUM(Sales[SalesAmount]), DATEADD('Date'[Date], -1, MONTH))"
Time Intelligence,PARALLELPERIOD,Measure,Return a full parallel period (e.g. entire previous month) shifted from current context,"Sales Prior Qtr = CALCULATE(SUM(Sales[SalesAmount]), PARALLELPERIOD('Date'[Date], -1, QUARTER))"
Time Intelligence,PREVIOUSDAY / PREVIOUSMONTH / PREVIOUSQUARTER / PREVIOUSYEAR,Measure,Return the previous day/month/quarter/year as a date table,"Sales Prev Year = CALCULATE(SUM(Sales[SalesAmount]), PREVIOUSYEAR('Date'[Date]))"
Time Intelligence,NEXTDAY / NEXTMONTH / NEXTQUARTER / NEXTYEAR,Measure,Return the next day/month/quarter/year as a date table,"Sales Next Month = CALCULATE(SUM(Sales[SalesAmount]), NEXTMONTH('Date'[Date]))"
Time Intelligence,FIRSTDATE / LASTDATE,Measure,First/last date visible in current filter context,"Closing Balance = CALCULATE(SUM(Sales[SalesAmount]), LASTDATE('Date'[Date]))"
Time Intelligence,FIRSTNONBLANK / LASTNONBLANK,Measure,First/last date where an expression is not blank (great for inventory/balance snapshots),"Latest Stock Date = LASTNONBLANK('Date'[Date], CALCULATE(SUM(Inventory[Qty])))"
Time Intelligence,DATESBETWEEN,Measure,Table of dates between two boundaries for custom period calculations,"Custom Range Sales = CALCULATE(SUM(Sales[SalesAmount]), DATESBETWEEN('Date'[Date], DATE(2024,1,1), DATE(2024,6,30)))"
Time Intelligence,DATESINPERIOD,Measure,Table of dates within N intervals of a start date (rolling windows),"Rolling 30 Day Sales = CALCULATE(SUM(Sales[SalesAmount]), DATESINPERIOD('Date'[Date], MAX('Date'[Date]), -30, DAY))"
Time Intelligence,OPENINGBALANCEMONTH / CLOSINGBALANCEMONTH,Measure,Balance at the start/end of a month (also YEAR/QUARTER variants),"Opening Bal = OPENINGBALANCEMONTH([Balance], 'Date'[Date])"
Time Intelligence,STARTOFMONTH / ENDOFMONTH,Measure,First/last date of the month in current context (also YEAR/QUARTER variants),Month End = ENDOFMONTH('Date'[Date])
